record,loss,year,log_loss,log_record
57000000.0,100000.0,2016,11.512925464970229,17.858561825798823
8164.0,940000000.0,2005,20.661390433228323,9.007489523929735
2200000.0,57000000.0,2015,17.858561825798823,14.603967918328545
557.0,419139.0,2011,12.94595788613342,6.322565239927284
62000.0,380000.0,2013,12.84792653170257,11.03488966402723
16.0,60000.0,2016,11.002099841204238,2.772588722239781
43500.0,200000.0,2009,12.206072645530174,10.680516217076775
94000000.0,333700000.0,2005,19.6257529437216,18.358805340234277
8700000.0,2725000.0,2012,14.817978986079481,15.978833583624812
104179.0,3700000.0,2013,15.123843377614453,11.553865852481756
50.0,500000.0,2016,13.122363377404328,3.912023005428146
335.0,102322.0,2016,11.535879982582413,5.814130531825066
900.0,70000.0,2015,11.156250521031495,6.802394763324311
192.0,1000000.0,2009,13.815510557964274,5.2574953720277815
4500.0,4300000.0,2010,15.27412558066379,8.411832675758411
300.0,5300000.0,2012,15.483217378522351,5.703782474656201
250.0,400000.0,2013,12.89921982609012,5.521460917862246
6.0,46230.0,2017,10.74138421698227,1.791759469228055
700.0,2100000.0,2017,14.557447902693651,6.551080335043404
63000.0,109364.0,2016,11.6024370471737,11.05089000537367
72.0,443000.0,2014,13.001325049027272,4.276666119016055
1800.0,250000.0,2013,12.429216196844383,7.495541943884256
6400000.0,750000.0,2012,13.527828485512494,15.671808548329901
1220000.0,3000000.0,2010,14.914122846632385,14.01436141670944
1000000.0,450000.0,2002,13.017002861746503,13.815510557964274
1.0,275000.0,2011,12.524526376648708,0.0
1.0,200000.0,2015,12.206072645530174,0.0
1.0,2600000.0,2014,14.77102200299171,0.0
1295.0,1085208.0,2013,13.897282231652753,7.166265974133638
808.0,363852.0,2019,12.804502470530773,6.694562058521095
134000000.0,140000000.0,2007,18.75715298057358,18.713350357915186
110000000.0,243000000.0,2013,19.30857200130482,18.51599092375669
612402.0,1700000.0,2009,14.346138809026444,13.325144208599653
8.0,20.0,2013,2.995732273553991,2.0794415416798357
55000.0,750000.0,2012,13.527828485512494,10.915088464214607
30800.0,680000.0,2014,13.42984807715229,10.335269968961667
24.0,974095.0,2018,13.789264113802643,3.1780538303479458
35000000.0,508000.0,2011,13.138236726560619,17.37085861945369
3700.0,1500000.0,2013,14.22097566607244,8.216088098632316
115143.0,5500000.0,2012,15.520258650202699,11.65393011312747
105947.0,3000000.0,2011,14.914122846632385,11.570694248052522
4350.0,430000.0,2015,12.971540487669746,8.37793112408273
620000.0,7250000.0,2013,15.796512026830857,13.337474757021274
4100.0,1100000.0,2013,13.9108207377686,8.318742252692399
12.0,607.0,2016,6.408528791059498,2.4849066497880004
5.0,9000.0,2015,9.104979856318357,1.6094379124341003
4022.0,1536846.42,2013,14.245243095602374,8.299534570332597
2743.0,150000.0,2011,11.918390573078392,7.916807490937603
599.0,850000.0,2011,13.652991628466498,6.395261598115449
2.0,52000.0,2009,10.858998997563564,0.6931471805599453
5.0,5000.0,2015,8.517193191416238,1.6094379124341003
17300.0,750000.0,2013,13.527828485512494,9.75846178048587
6300000.0,12000000.0,2007,16.300417207752275,15.65606019136176
158.0,91141.0,2013,11.420163036888468,5.062595033026967
146693665.0,87500000.0,2017,18.287149351327844,18.803857058813364
109000000.0,57400000.0,2014,17.865554861289795,18.50685844019342
1.0,1440000.0,2013,14.180153671552183,0.0
350.0,18500.0,2012,9.825526011066415,5.857933154483459
1532.0,400000.0,2014,12.89921982609012,7.3343293503005365
14004.0,150000.0,2011,11.918390573078392,9.547098282074556
2200.0,150000.0,2011,11.918390573078392,7.696212639346407
31.0,1000.0,2016,6.907755278982137,3.4339872044851463
17.0,8000.0,2013,8.987196820661973,2.833213344056216
1360.0,90000.0,2015,11.407564949312402,7.215239978730097
6200.0,3000000.0,2015,14.914122846632385,8.732304571033183
9500.0,155000000.0,2011,18.858935674883522,9.159047077588632
660.0,264000.0,2016,12.483704382128453,6.492239835020471
1.0,275000.0,2011,12.524526376648708,0.0
15.0,39000000.0,2013,17.47907220409392,2.70805020110221
3403.0,15000.0,2015,9.615805480084347,8.132412674500905
500000000.0,1000000000000.0,2016,27.631021115928547,20.030118656386467
1.0,7800.0,2014,8.961879012677683,0.0
1.0,15000.0,2016,9.615805480084347,0.0
30.0,40000.0,2017,10.596634733096073,3.4011973816621555
851322.0,177000.0,2014,12.083905011555967,13.654545714366844
1000.0,2500000.0,2010,14.73180128983843,6.907755278982137
409262.0,1200000.0,2013,13.997832114758229,12.922110816733863
1.0,125000.0,2015,11.736069016284437,0.0
6200.0,3100000.0,2014,14.946912669455374,8.732304571033183
33000.0,134000.0,2013,11.805595078933049,10.404262840448617
67000.0,140000.0,2014,11.84939770159144,11.112447898373103
49.0,110000.0,2015,11.608235644774552,3.8918202981106265
870.0,1700000.0,2012,14.346138809026444,6.76849321164863
6800.0,4800000.0,2010,15.38412647587812,8.824677891164198
1400.0,114135.0,2013,11.645137237278734,7.24422751560335
3900.0,100000.0,2012,11.512925464970229,8.268731832117737
690000.0,1100000.0,2013,13.9108207377686,13.444446876573442
24000000.0,106000.0,2012,11.571194373094205,16.99356438831222
1.0,1800.0,2013,7.495541943884256,0.0
144.0,257710.0,2008,12.459590200699365,4.969813299576001
83000000.0,250000000.0,2014,19.33697147582652,18.234351165760874
400.0,400000.0,2016,12.89921982609012,5.991464547107982
15300.0,28810.0,2018,10.268477828078574,9.635608107380527
2.0,475000.0,2017,13.071070083016778,0.6931471805599453
9558.0,90000.0,2012,11.407564949312402,9.165133779138104
